表名：wp_comments（评论信息表）,,,,,,,,
引擎：InnoDB，编码：utf8_general_ci,,,,,,,,
字段名,类型,属性,默认值,整理类型,空,额外,索引,备注
comment_ID,INT(10),unsigned,无,utf8_general_ci,否,AUTO_INCREMENT,primary_key,自增唯一ID
comment_post_ID,INT(10),unsigned,0,utf8_general_ci,否,,index,对应文章ID
comment_author,VARCHAR(255),,空字符串,utf8_general_ci,否,,index,评论者
comment_author_email,VARCHAR(255),,空字符串,utf8_general_ci,否,,,评论者邮箱
comment_author_url,VARCHAR(255),,空字符串,utf8_general_ci,否,,,评论者网址
comment_author_IP,VARCHAR(255),,空字符串,utf8_general_ci,否,,,评论者IP
comment_date,DATETIME,,0,utf8_general_ci,否,,,评论时间
comment_content,TEXT,,空字符串,utf8_general_ci,否,,,评论正文
comment_parent,INT(10),unsigned,0,utf8_general_ci,否,,index,父评论ID
user_id,INT(10),unsigned,0,utf8_general_ci,否,,index,评论者用户ID（不一定存在）
